KEYS,,en,es,pt
new_game,PC,NEW GAME,NUEVA PARTIDA,NOVO JOGO
load_game,PC,LOAD GAME,CARGAR PARTIDA,CARREGAR JOGO
settings,PC,SETTINGS,AJUSTES,CONFIGURAÇÕES
shop,PC,SHOP,TIENDA,LOJA
reset,PC,RESET,REINICIAR,REINICIAR
quit_game,PC,QUIT GAME,QUITAR JUEGO,SAIR DO JOGO
back_to_menu,PC,BACK TO MENU,VOLVER AL MENÚ PRINCIPAL,VOLTAR AO MENU
mute_unmute_key,PC,MUTE / UNMUTE,ACTIVAR/SILENCIAR SONIDO,SILENCIAR / DESSILENCIAR
locked,PC,LOCKED,BLOQUEADO,BLOQUEADO
unlocked,PC,UNLOCKED,DESBLOQUEADO,DESBLOQUEADO
loading,PC,LOADING,CARGANDO,A CARREGAR
,,,,
continue,PC,CONTINUE,CONTINUAR,CONTINUAR
accept,PC,ACCEPT,ACEPTAR,ACEITAR
decline,PC,DECLINE,DENEGAR,RECUSAR
cancel,PC,CANCEL,CANCELAR,CANCELAR
close,PC,CLOSE,CERRAR,FECHAR
ok,PC,OK,OK,OK
back,PC,BACK,ATRAS,VOLTAR
,,,,
confirm_buy,PC,Are you sure you want to make this purchase? The following amount will be deducted:,¿Estás seguro de que quieres realizar esta compra? Se te cobrará el siguiente importe:,Tem a certeza de que deseja efetuar esta compra? Será deduzido o seguinte montante:
,,,,
button_action,PC,PRESS ACTION TO CONTINUE,PULSA EL BOTÓN ACCIÓN PARA CONTINUAR,PRESSIONE A AÇÃO PARA CONTINUAR
button_action,MOBILE / GAMEPAD,TAP TO CONTINUE,PULSAR PARA CONTINUAR ,TOQUE PARA CONTINUAR
,,,,
language_key,PC,LANGUAGE,IDIOMA,IDIOMA
credits_key,PC,CREDITS,CREDITOS,CRÉDITOS
,,,,
skip_button_key,PC,press E to Skip ,Pulsa E para saltar,Prima E para avançar
skip_button_key,"PC, MOBILE / GAMEPAD",Tap to Skip,Toca para saltar,Toque para avançar
